[2017-11-25 16:50] !SAY            performed by '[GOY] KUS-MIFLEZET': still thre go away - [GOY] KUS-MIFLEZET
[2017-11-25 16:51] !SAY            performed by '|69th| chrisweb89': thank you again for helping to seed, go to discord.me/NWG or NewWorldGaming.xyz to give feedback and join the community - |69th| chrisweb89
[2017-11-25 16:51] !KILL           performed by '[TZ] FFG' on ' dainrain': You are too close to their main base! Back off now!
[2017-11-25 16:57] !INIT           performed by '[TZ] FFG': 
[2017-11-25 16:58] !SAYTEAM        performed by '[GOY] KUS-MIFLEZET' on 'team 1': make squads! - [GOY] KUS-MIFLEZET
[2017-11-25 16:58] !SAY            performed by '[TZ] FFG': Join us on Discord : Discord.me/NWG - [TZ] FFG
[2017-11-25 16:59] !WARN           performed by '|69th| chrisweb89' on ' =BPRW=92': Do not join squads just to steal kits
[2017-11-25 17:00] !WARN           performed by '|69th| imchicken1' on ' Gmeme_': You are stealing an asset. Please return it to base.
[2017-11-25 17:01] !KICK           performed by '|69th| imchicken1' on ' Gmeme_': You are stealing an asset. Please return it to base.
[2017-11-25 17:01] !WARN           performed by '|69th| chrisweb89' on ' usacommand': command do not lock inf squads before 4 people
[2017-11-25 17:13] !SAY            performed by '[TZ] FFG': discorx - [TZ] FFG
[2017-11-25 17:13] !SAY            performed by '[TZ] FFG': Join us on Discord : Discord.me/NWG - [TZ] FFG
[2017-11-25 17:16] !MESSAGE        performed by '[TZ] FFG' on 'u|Fear imdruid': whats up? - [TZ] FFG
[2017-11-25 17:16] !MESSAGE        performed by '[TZ] FFG' on '[GOY] KUS-MIFLEZET': memes - [TZ] FFG
[2017-11-25 17:16] !SWITCH         performed by ' Hanniballektor' on ' Hanniballektor': Instantly
[2017-11-25 17:19] !KICK           performed by '[TZ] FFG' on '[TZ] LarsSantiago': You were AFK!
[2017-11-25 17:19] !KICK           performed by '[TZ] FFG' on '[TZ] Cleavetester': You were AFK!
[2017-11-25 17:19] !KICK           performed by ' [PR]RPX|Bullseye2550' on ' Princess153': You were AFK!
[2017-11-25 17:20] !KICK           performed by '[TZ] FFG' on ' Max_Low': You were AFK!
[2017-11-25 17:21] !KICK           performed by '[TZ] FFG' on '[bD] YAK': You were AFK!
[2017-11-25 17:22] !KICK           performed by '[TZ] FFG' on ']CIA[ Cixlysid': You were AFK!
[2017-11-25 17:25] !SAY            performed by '[GOY] KUS-MIFLEZET': yes - [GOY] KUS-MIFLEZET
[2017-11-25 17:25] !KICK           performed by '|69th| imchicken1' on '|69th| Zissou': You were AFK!
[2017-11-25 17:26] !RESIGN         performed by '|69th| Corux' on 'JJ pjrescue': nomic/noenglish/noteamwork
[2017-11-25 17:28] !WARN           performed by '|69th| chrisweb89' on '=BPRW= basam..94': SLs must speak english and communicate with the team
[2017-11-25 17:29] !KICK           performed by '|69th| chrisweb89' on '=BPRW= basam..94': not communicating with team as a SL
[2017-11-25 17:31] !WARN           performed by '|69th| chrisweb89' on 'JJ pjrescue': SL your squad and communicate with the team
[2017-11-25 17:32] !WARN           performed by '[TZ] FFG' on 'chode dankchode': join a squad
[2017-11-25 17:32] !RESIGN         performed by '|69th| imchicken1' on ' _schleepy': freekit
[2017-11-25 17:32] !RESIGN         performed by '|69th| imchicken1' on ' Atticus_Finch': freekit
[2017-11-25 17:32] !RESIGN         performed by '|69th| imchicken1' on '>nuub> Sergeantevilman.': freekit
[2017-11-25 17:32] !RESIGN         performed by '|69th| imchicken1' on ' SovietDooM': freekit
[2017-11-25 17:32] !RESIGN         performed by '|69th| imchicken1' on 'JJ pjrescue': freekit
[2017-11-25 17:32] !RESIGN         performed by '|69th| imchicken1' on ' TrueBlew': freekit
[2017-11-25 17:33] !KICK           performed by '[TZ] FFG' on 'chode dankchode': join a squad
[2017-11-25 17:34] !WARN           performed by '|69th| chrisweb89' on '=BPRW= basam..94': you have to communicate with the team in english and mumble as a SL
[2017-11-25 17:35] !SAYTEAM        performed by '[TZ] FFG' on 'team 1': build fobs, cunts - [TZ] FFG
[2017-11-25 17:35] !TEMPBAN        performed by '|69th| chrisweb89' on '=BPRW= basam..94': come back to the server when you want to teamwork
[2017-11-25 17:36] !SETNEXT        performed by '[TZ] FFG': Operation Marlin (AAS, Std)
[2017-11-25 17:41] !REPORT         performed by ' A.C.Bassem.Sdj': Tac sheinto tk
[2017-11-25 17:55] !SWITCH         performed by '[TZ] FFG' on '|69th| Corux': Instantly
[2017-11-25 18:00] !KICK           performed by 'SERVER' on 'u|Fear imdruid': Creating too many early squads!
[2017-11-25 18:00] !SWITCH         performed by ' Pyrolysis' on '[jp] Kaiware218': Instantly
[2017-11-25 18:01] !SWITCH         performed by '[TZ] FFG' on '[VOP] drophacks.exe': Instantly
[2017-11-25 18:01] !SWITCH         performed by ' Pyrolysis' on ' Moko_Foxtrot': Instantly
[2017-11-25 18:02] !SWITCH         performed by ' Pyrolysis' on ' furanka-': Instantly
[2017-11-25 18:03] !KICK           performed by '[TZ] FFG' on ' Tavor': Stop chat-spamming!
[2017-11-25 18:16] !SAY            performed by '[TZ] FFG': Join us on Discord : Discord.me/NWG - [TZ] FFG
[2017-11-25 18:20] !REPORT         performed by ' A.C.Bassem.Sdj': i change team .. wait :)
[2017-11-25 18:20] !REPORT         performed by ' A.C.Bassem.Sdj': wait yna3n dirabek
[2017-11-25 18:21] !REPORT         performed by ' A.C.Bassem.Sdj': zok omek l 9ahba ya admin shbik miboun
[2017-11-25 18:21] !WARN           performed by '[TZ] FFG' on ' A.C.Bassem.Sdj': english?
[2017-11-25 18:21] !REPORT         performed by ' A.C.Bassem.Sdj': arabic :)
[2017-11-25 18:21] !REPORT         performed by ' A.C.Bassem.Sdj': or franch :)
[2017-11-25 18:34] !WARN           performed by '|69th| chrisweb89' on ' A.C.Bassem.Sdj': talk in SL channel or be kicked, you must work with the team on this server
[2017-11-25 18:35] !REPORT         performed by ' A.C.Bassem.Sdj': i m waiting a supplies .. wtf men !!!! what u went for meee !!!
[2017-11-25 18:36] !MESSAGE        performed by '[TZ] FFG' on 'prWARs koolio': hey dad - [TZ] FFG
